_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
16,Галицький,Чайковського П.,26,"кафе ""Кулінарна студія Банзай""",NULL,ПП Яцюк Г.О.,NULL,NULL,NULL,NULL,NULL,0633019780,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
17,Франківський,Стрийська,106А,"піцерія ""Піцерія ""Леонардо""",10.0,ФОП Волдишев О.В.,NULL,25.0,NULL,NULL,NULL,0633115240,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
18,Галицький,"Ринок, пл.",29,Домініка,NULL,Лозицька Маріанна Мирославівна,NULL,NULL,NULL,NULL,NULL,0633901573,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
19,Галицький,Бандери С.,28/1,"кафе ""Запіканки""",NULL,ПП Мавдрик Д.Б.,NULL,NULL,NULL,NULL,NULL,0634419165,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
20,Залізничний,Стародубська,3.0,"кафе""Стожари""",32.0,Прокоп'юк Оксана Василівна,NULL,52.0,NULL,NULL,NULL,0635219579,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
21,Сихівський,Угорська,26,"ресторан ""Султан Палац""",200.0,"ТзОВ ""ЕМІЛЬЯ""",NULL,500.0,NULL,NULL,NULL,0635370001,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
22,Галицький,Політехнічна,5,"кафе ""MAKERY CHIKEN""",20.0,Шепіль А.С.,NULL,NULL,NULL,NULL,NULL,0635831444,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
23,Личаківський,Туган-Барановського М.,9,"ПП"" Блек Бізон""",28.0,"ПП"" Блек Бізон""",NULL,169.9,NULL,NULL,NULL,0636262137,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
24,Франківський,Героїв УПА,73,"кальян бар ""The Game lounge""",70.0,ФОП Рогуцький Олександр Миколайович,NULL,150.0,NULL,NULL,NULL,0636777764,0986777764,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-04:00,10:00-04:00,вихідний
25,Франківський,Антоновича В.,9.0,"магазин-кафе кондитерська ""Кав'ярня""",15.0,ФОП Лукашевич Аліна Львівна,NULL,40.0,NULL,NULL,NULL,0637083796,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний
26,Галицький,Валова,25/2,Wine Haus,30.0,Ярема-Семкулич Н.В.,NULL,NULL,NULL,NULL,NULL,0637830900,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
27,Личаківський,Пасічна,43,Кафе-бар „Таємниця щастя”,40.0,ПП „ Пасічний заїзд”,NULL,50.0,NULL,NULL,NULL,0638349116,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
28,Галицький,Братів Рогатинців,49,"кафе ""Poison Lab""",25.0,"ТзОВ ""Фан Компані""",NULL,NULL,NULL,NULL,NULL,0639390781,NULL,11:00-01:00,11:00-01:00,11:00-01:00,11:00-01:00,11:00-01:00,вихідний,вихідний
29,Галицький,Руданського С.,1,Рафінад,NULL,ТзОВ Гудвін,NULL,NULL,NULL,NULL,NULL,0664000888,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
30,Франківський,"Сахарова А.,акад.",48.0,"швидке харчування ""Egg burgerset""",20.0,ФОП Романів Євген Олександрович,NULL,45.0,NULL,NULL,NULL,0666679418,NULL,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,14:00-22:00
31,Франківський,Володимира Великого,34.0,"кафе ""Затишок""",230.0,"ТзОВ Кафе ""Затишок-1""",NULL,200.0,032,2630170.0,NULL,0671101538,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
32,Франківський,Наукова,2Б,"кафе ""Гопак""",365.0,ФОП П'янов Сергій Володимирович,NULL,300.0,032,2452745.0,NULL,0671124369,NULL,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,11:00-00:00,вихідний,вихідний
33,Галицький,"Ринок, пл.",29/27,"кафе ""Креперія""",NULL,ПП Скрипняк Т.М.,NULL,NULL,NULL,NULL,NULL,0671311427,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
34,Личаківський,Хмельницького Б.,140,"ресторан ""Картель""",56.0,"ТзОВ ""Гетьманський шлях""",NULL,45.0,032,2520269.0,NULL,0671641780,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
35,Шевченківський,Хмельницького Б.,225,кафе,18.0,"ТзОВ ""Гетьманський шлях""",NULL,48.0,NULL,NULL,NULL,0671641780,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
36,Франківський,Стрийська,76.0,"кафе ""Вакар""",16.0,"ТзОВ ""Вакар""",NULL,30.0,032,2277502.0,NULL,0671772926 ,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
37,Личаківський,Дніпровська,7,"Кафе-бар ""Козацька чайка""",40.0,СПД ФО Прожуган Галина Йосипівна,NULL,"318,2",032,2751899.0,NULL,0671903080,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
38,Шевченківський,Джерельна,21,"""Шаурма кебаб""",8.0,Заячук Петро Васильович,NULL,15.0,NULL,NULL,NULL,0672103867,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,12:00-21:00
39,Франківський,"Чупринки Т.,ген.",42.0,"кафе-бар ""Марципан""",20.0,"ТзОВ ""Марципан""",NULL,40.0,NULL,NULL,NULL,0672347745,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
40,Галицький,Театральна,24,Джем,NULL,Данчак Н.Я.,NULL,NULL,NULL,NULL,NULL,0672550655,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
41,Личаківський,Зелена,42,"""2 cups""",24.0,СПД Когут Віра Степанівна,NULL,45.3,NULL,NULL,NULL,0672710727,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,10:00-21:00
42,Галицький,Староєврейська,8,Хенліс,NULL,Дрозд Л.В.,NULL,NULL,NULL,NULL,NULL,0672844542,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
43,Залізничний,"Курмановича В., ген.",9,"кафе ""Львівські марципани""",28.0,Шелюх Ірина Володимирівна,NULL,50.0,NULL,NULL,NULL,0672845598,NULL,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,вихідний
44,Франківський,"Лазаренка Є., акад.",1А,"кафе ""Стравниця""",50.0,ФОП Пасельський Тарас Михайлович,NULL,70.0,NULL,NULL,NULL,0672849775,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,вихідний,вихідний
45,Галицький,Братів Рогатинців,4,Лемберг граф,40.0,"ТзОВ ""Черевичок""",NULL,NULL,NULL,NULL,NULL,0673005700,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
46,Галицький,"Галицька, пл.",7,ресторан, ,"ТзОВ ""Галичина-Еліт""",NULL,NULL,NULL,NULL,NULL,0673084995,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
47,Франківський,Героїв УПА,72.0,"кафе ""Хот кафе""",25.0,ФОП Олексин Ольга Володимирівна,NULL,50.0,NULL,NULL,NULL,0673104327 ,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
48,Галицький,Братів Рогатинців,21,Цукор,25.0,ПП Буженик М.С.,NULL,41.6,NULL,NULL,NULL,0673105551,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
49,Галицький,Січових Стрільців,3,кафе,NULL,"ТзОВ"" Галич-менеджмент""",NULL,NULL,NULL,NULL,NULL,0673142575,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
50,Галицький,Краківська,9,Фреска,30.0,ТзОВ Цукерня Фортуна Нова,NULL,NULL,NULL,NULL,NULL,0673144811,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
51,Франківський,Коновальця Є.,10.0,"кафе-кав'ярня ""Кава""",16.0,ФОП Матвіїв Роман Васильович,NULL,30.0,NULL,NULL,NULL,0673200363,0676742019 ,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,вихідний,вихідний
52,Галицький,Раппапорта Я.,1,піцерія,NULL,"ТзОВ ""Марія""",NULL,NULL,NULL,NULL,NULL,0673320101,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
53,Галицький,"Ринок, пл.",29,"буфет ""Хумус & Фалафель""",NULL,ПП Магера О.Б.,NULL,NULL,NULL,NULL,NULL,0673400304,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
54,Личаківський,Мечникова І.,39,"Кафе ""Ієрусалим""",16.0,"ПП ""Збруч два""",NULL,73.2,032,2600208.0,NULL,0673400304 ,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
55,Залізничний,Патона Є.,6.0,"арт-кафе ""Древ Град""",48.0,Хімічук Ірина Едуардівна,Безсонний Леонід Валерійович,170.0,NULL,NULL,NULL,0673402710,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00
56,Галицький,Лесі Українки,35,Бейліз,NULL,Лавров є.С.,NULL,NULL,NULL,NULL,NULL,0673402710,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
57,Галицький,"Ринок, пл.",21,"Піцерія ""На ринку""",NULL,Мазур А.А.,NULL,NULL,NULL,NULL,NULL,0673402710,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
58,Галицький,"Свободи, просп.",24,Піцерія Челентано,60.0,ТзОВ Кава,NULL,NULL,NULL,NULL,NULL,0673402710,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
59,Галицький,"Свободи, просп.",6/8,"кафе ""Сало""",NULL,"ТзОВ ""Ресторан ""Сало""",NULL,NULL,NULL,NULL,NULL,0673402710,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
60,Галицький,Шевська,8,"ресторан ""Бачевських""",NULL,"ТзОВ ""Ресторан Бачевських""",NULL,NULL,NULL,NULL,NULL,0673402710,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,вихідний,вихідний
61,Франківський,Наукова,29А,"кафе ""Yolla""",40.0,ФОП Комарницький Богдан Андрійович,NULL,80.0,NULL,NULL,NULL,0673404009,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
62,Франківський,Київська,24.0,"паб ""Юнітас""",30.0,ФОП Лимиріва Тетяна Ігорівна,NULL,NULL,032,2388510.0,NULL,0673410151,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
63,Франківський,Антоновича В.,140.0,"кафе ""Торнадо""",56.0,ФОП Брюханов Павло Валерійович,NULL,80.0,032,2393327.0,NULL,0673415816,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,11:00-23:00,11:00-23:00
64,Франківський,Городоцька,207.0,"кафе-ресторан ""Оксана""",120.0,ФОП Мишакіна Леся Євстахівна,NULL,300.0,032,2391240.0,NULL,0673416624 ,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
65,Галицький,Нижанківського О.,7,"ресторан ""CRAZY TOWN""", ,"ТзОВ ""КРЕЙЗІ ТАУН""",NULL,NULL,NULL,NULL,NULL,0673431118,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
66,Франківський,Городоцька,147.0,"бар ""Запашна кава""",10.0,"ПП ""Дунай-Ф"" (кер.Фурик Любов Володимирівна)",NULL,20.0,NULL,NULL,NULL,0673532539,NULL,07:00-22:00 ,07:00-22:00 ,07:00-22:00 ,07:00-22:00 ,07:00-22:00 ,вихідний,вихідний
67,Галицький,Хмельницького Б.,3.0,кафе,25.0,ПП Кооп Мрія,NULL,68.0,NULL,NULL,NULL,0673689009,NULL,09.00-23.00,09.00-23.00,09.00-23.00,09.00-23.00,09.00-23.00,вихідний,вихідний
68,Сихівський,Демнянська,26,"ресторан-паб ""007""",60.0,"ТзОВ ""Львівська експлуатаційна компанія""",NULL,100.0,NULL,NULL,NULL,0673701277,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
69,Залізничний,Апостола Д.,10,"""NOY""",30.0,Хачатрян Хосров Вазгенович,NULL,NULL,NULL,NULL,NULL,0673706626,NULL,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,08:00-18:00,вихідний
70,Галицький,Друкарська,3,Пошта на Друкарській,35.0,"ТзОВ ""Мінпрод Галичини""",NULL,NULL,NULL,NULL,NULL,0673711197,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
71,Галицький,"Ринок, пл.",32,"ресторан ""Правда. Театр Пива""",150.0,"ТзОВ ""Ресторація ""На Ринку""",NULL,NULL,NULL,NULL,NULL,0673711197,NULL,08:00-04:00,08:00-04:00,08:00-04:00,08:00-04:00,08:00-04:00,вихідний,вихідний
72,Галицький,Січових Стрільців,5,Майстерня шоколаду,NULL,ТзОВ Шокоооооооолад,NULL,NULL,NULL,NULL,NULL,067371197,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
73,Франківський,Кульпарківська,59.0,"кав'ярня ""2 Cups""",5.0,ФОП Когут Віра Степанівна,NULL,14.0,NULL,NULL,NULL,0673735882 ,NULL,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,08:30-19:00,вихідний,вихідний
74,Галицький,"Катедральна, пл.",7,Амадеус,NULL,"ДП ""Албіс Компані""",NULL,NULL,NULL,NULL,NULL,0673740624,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
75,Сихівський,Хоткевича Г.,52,"кафе ""Рів'єра""",50.0,"ПП ""Галичбуд""",NULL,150.0,NULL,NULL,NULL,0673976043,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
76,Личаківський,Зелена,5,Бар,10.0,"ПП ""Армана""",NULL,40.0,NULL,NULL,NULL,0674290199,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
77,Личаківський,Зелена,109,"Гриль-бар ""Лідер""",20.0,ФОП Лисяк О.І.,NULL,98.1,NULL,NULL,NULL,0674715605,NULL,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,вихідний,вихідний
78,Залізничний,Сяйво,10.0,"кафе-бар ""Колобок""",60.0,Чайківський Богдан Ярославович,NULL,NULL,032,2430080.0,NULL,0675251098,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
79,Шевченківський,Раппапорта Я.,11,"""Кавярня Біля шпиталю""",40.0,Нестерак Надія Дмитрівна,NULL,45.0,NULL,NULL,NULL,0675834086,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
80,Залізничний,Низинна,2,"""Теремок""",25.0,Балицька Марія Іванівна,NULL,42.0,NULL,NULL,NULL,0675835697,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00
81,Галицький,Проїзд Крива Липа,3,Цукор,NULL,Буженик В.,NULL,NULL,NULL,NULL,NULL,0675997080,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
82,Франківський,Володимира Великого,29.0,"кафе ""Аякси""",50.0,"ТзОВ Фірма ""Аякси""",NULL,80.0,032,2342737.0,NULL,0676007133,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
83,Шевченківський,Жовківська,1,бістро,15.0,Якубов Віктор Ігорович,NULL,0.0,NULL,NULL,NULL,0676048802,NULL,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,09:00-19:00,вихідний,вихідний
84,Франківський,Айвазовського І.,22.0,"кафе-бар ""Котигорошко""",50.0,ФОП Броварник Наталія Глібівна,NULL,90.0,NULL,NULL,NULL,0676623353,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
85,Галицький,Рутковича І.,18/1А,"кафе ""Бесквіт""",NULL,ПП Романів Т.О.,NULL,NULL,NULL,NULL,NULL,0676642229,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
86,Франківський,Героїв УПА,80.0,"ресторан ""Грейцер""",80.0,ФОП Завадська Роксолана Андріївна,NULL,129.0,NULL,NULL,NULL,0676700460,NULL,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,вихідний,вихідний
87,Галицький,Данилишина Д.,6,кафе,NULL,Корінь Т.Я.,NULL,NULL,NULL,NULL,NULL,0676700904,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
88,Личаківський,Пекарська,2,"більярдний клуб, кафе-бар ""Пул""",26.0,СПД Гетьманчук М..,СПД ФО Лешневський Б.І.; СПД ФО Вовчак В.Р,350.0,032,2764214.0,NULL,0676700993 ,NULL,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,вихідний,вихідний
89,Личаківський,Туган-Барановського М.,14,"Кафе ""У Кіма""",40.0,"ТзОВ ""К.К.К.""",NULL,139.3,032,2756628,NULL,0676701800,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,вихідний
90,Личаківський,Шімзерів,2,"кафе-бар ""Сан Райз""",10.0,"ТзОВ ""Сан Райз""",NULL,20.0,NULL,NULL,NULL,0676702063,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
91,Личаківський,Зелена,14,"Нічний клуб ""Метро Clab""",NULL,"ТзОВ ""Позитифф"" (орендує в ТзОВ ""Бізнес-центр"" на пл.Петрушевича,3)",NULL,NULL,032,2424960.0,NULL,0676704243    ,NULL,21:00-06:00,21:00-06:00,21:00-06:00,21:00-06:00,21:00-06:00,вихідний,вихідний
92,Личаківський,Руставелі Ш.,6,"кафе ""Франсуа-уа"" французька булочка",20.0,СПД Бундз Василь Стефанович,NULL,38,NULL,NULL,NULL,0676706716,0986304191,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
93,Галицький,"Яворського С., пл.",1,"ресторан ""Далар"" грузинська кухня",10.0,ПП Капустяк О.С.,NULL,NULL,NULL,NULL,NULL,0676708054,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-02:00,10:00-02:00
94,Залізничний,Городоцька,116А,"""Кум Чебурек""",20.0,Гришко Сергій Віталійович,NULL,50.0,NULL,NULL,NULL,0676709426,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00
95,Галицький,Староєврейська,4,Белла Чао,50.0,"ТзОВ ""Ресторація ""На Ринку""",NULL,NULL,NULL,NULL,NULL,0676712338,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
96,Галицький,Самчука У.,8,"ресторан ""Деліс""",80.0,"ТзОВ ""Деліс Груп""",NULL,NULL,NULL,NULL,NULL,0676713744,NULL,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,07:00-24:00,вихідний,вихідний
97,Галицький,Староєврейська,26,Бургер Джоінт,NULL,ТзОВ Бургер Джоінт,NULL,NULL,NULL,NULL,NULL,0676714514,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
98,Галицький,Дудаєва Дж.,2/3,"кафе ""4 friends""",30.0,"відновлення ТзОВ ""ПАБ ПРОЕКТ""",NULL,NULL,032,2256554.0,NULL,0676714514  ,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
99,Франківський,Природна,2.0,"кафе ""Мішель""",40.0,"ТзОВ ""Галич-2""",NULL,80.0,032,2342567.0,NULL,0676723270,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
100,Сихівський,Антоненка-Давидовича Б.,10,кафе,30.0,Плебанська Г.В.,NULL,55.0,NULL,NULL,NULL,0676724707,NULL,14:00-23:00,14:00-23:00,14:00-23:00,14:00-23:00,14:00-23:00,NULL,NULL
101,Личаківський,Личаківська,50,"ТзОВ ""М""ясний дворик""",28.0,СПД ФО Антал Василь Юрійович,NULL,76.0,NULL,NULL,NULL,0676725120,0676742022,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
102,Сихівський,"Червоної Калини, просп. ",62,"піцерія ""Чікаго""",30.0,"ТзОВ Фірма ""Мінд""",NULL,70.0,NULL,NULL,NULL,0676732092,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,NULL,NULL
103,Шевченківський,Лінкольна А.,10,"ресторан ""Писанка""",60.0,Рудницька Оксана Михайлівна,NULL,120.5,NULL,NULL,NULL,0676734189,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
104,Галицький,"Шевченка Т., просп.",23,Світ кави,50.0,Наклович Н.Г.,NULL,NULL,NULL,NULL,NULL,0676735535,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
