Індекс;Назва вулиці;Номер будинку
79037;Абхазька вул.;3
79037;Абхазька вул.;4
79037;Абхазька вул.;5
79037;Абхазька вул.;6
79037;Абхазька вул.;7
79037;Абхазька вул.;8
79037;Абхазька вул.;9
79037;Абхазька вул.;10
79037;Абхазька вул.;11
79037;Абхазька вул.;12
79037;Абхазька вул.;13
79037;Абхазька вул.;14
79022;Агабек-Заде вул.;2
79022;Агабек-Заде вул.;3
79022;Агабек-Заде вул.;4
79022;Агабек-Заде вул.;5
79069;Агрусова вул.;1
79069;Агрусова вул.;2
79069;Агрусова вул.;3
79069;Агрусова вул.;4
79069;Агрусова вул.;5
79069;Агрусова вул.;6
79069;Агрусова вул.;7
79069;Агрусова вул.;8
79069;Агрусова вул.;9
79017;Азовська вул.;1
79017;Азовська вул.;2
79017;Азовська вул.;3
79017;Азовська вул.;4
79017;Азовська вул.;5
79017;Азовська вул.;6
79017;Азовська вул.;7
79017;Азовська вул.;8
79017;Азовська вул.;9
79017;Азовська вул.;10
79017;Азовська вул.;11
79017;Азовська вул.;12
79017;Азовська вул.;13
79017;Азовська вул.;14
79017;Азовська вул.;15
79017;Азовська вул.;16
79017;Азовська вул.;17
79017;Азовська вул.;18
79017;Азовська вул.;19
79017;Азовська вул.;20
79017;Азовська вул.;21
79017;Азовська вул.;22
79017;Азовська вул.;23
79017;Азовська вул.;24
79017;Азовська вул.;25
79017;Азовська вул.;26
79017;Азовська вул.;27
79017;Азовська вул.;28
79053;Айвазовського вул.;15
79053;Айвазовського вул.;7
79053;Айвазовського вул.;10
79053;Айвазовського вул.;12
79053;Айвазовського вул.;22
79053;Айвазовського вул.;9
79053;Айвазовського вул.;11
79020;Акацієва вул.;7
79020;Акацієва вул.;9
79020;Акацієва вул.;11
79020;Акацієва вул.;13
79020;Акацієва вул.;15
79020;Акацієва вул.;17
79020;Акацієва вул.;19
79020;Акацієва вул.;23
79020;Акацієва вул.;25
79020;Акацієва вул.;31
79058;Актольки вул.;3
79058;Актольки вул.;4
79058;Актольки вул.;5
79017;Албанська вул.;1
79017;Албанська вул.;2
79017;Албанська вул.;3
79017;Албанська вул.;4
79017;Албанська вул.;5
79017;Албанська вул.;6
79017;Албанська вул.;7
79017;Албанська вул.;8
79017;Албанська вул.;9
79017;Албанська вул.;10
79017;Албанська вул.;11
79017;Албанська вул.;12
79017;Албанська вул.;13
79017;Албанська вул.;14
79017;Албанська вул.;15
79017;Албанська вул.;16
79017;Албанська вул.;17
79017;Албанська вул.;18
79017;Албанська вул.;19
79017;Албанська вул.;20
79017;Албанська вул.;21
79017;Албанська вул.;22
79017;Албанська вул.;23
79017;Албанська вул.;24
79017;Албанська вул.;25
79017;Албанська вул.;26
79017;Албанська вул.;27
79017;Албанська вул.;28
79025;Алмазна вул.;15
79025;Алмазна вул.;21
79025;Алмазна вул.;22
79025;Алмазна вул.; 22а
79025;Алмазна вул.;24
79025;Алмазна вул.;2
79025;Алмазна вул.;10
79069;Алмазова вул.;1
79069;Алмазова вул.;2
79069;Алмазова вул.;3
79069;Алмазова вул.;4
79069;Алмазова вул.;5
79069;Алмазова вул.;6
79069;Алмазова вул.;7
79069;Алмазова вул.;8
79069;Алмазова вул.;9
79007;Амінберла вул.;1
79007;Амінберла вул.;2
79007;Амінберла вул.;3
79007;Амінберла вул.;4
79007;Амінберла вул.;5
79007;Амінберла вул.;6
79007;Амінберла вул.;7
79007;Амінберла вул.;8
79007;Амінберла вул.;9
79007;Амінберла вул.;10
79007;Амінберла вул.;11
79007;Амінберла вул.;12
79007;Амінберла вул.;13
79007;Амінберла вул.;14
79052;Ангарна вул.;23
79052;Ангарна вул.;25
79052;Ангарна вул.;27
79052;Ангарна вул.;3
79052;Ангарна вул.;13
79052;Ангарна вул.;15
79052;Ангарна вул.;17
79052;Ангарна вул.;19
79052;Ангарна вул.;18
79052;Ангарна вул.;20
79052;Ангарна вул.;22
79052;Ангарна вул.;24
79052;Ангарна вул.;26
79052;Ангарна вул.;28
79052;Ангарна вул.;4
79049;Антонича вул.;16
79049;Антонича вул.;18
79049;Антонича вул.;20
79049;Антонича вул.;22
79049;Антонича вул.;24
79049;Антонича вул.;26
79049;Антонича вул.;28
79049;Антонича вул.;30
79049;Антонича вул.;32
79049;Антонича вул.;2
79049;Антонича вул.;4
79049;Антонича вул.;6
79049;Антонича вул.;8
79049;Антонича вул.;10
79049;Антонича вул.;12
79049;Антонича вул.;14
79018;Антоновича вул.;4
79018;Антоновича вул.;6
79018;Антоновича вул.;8
79018;Антоновича вул.;10
79018;Антоновича вул.;12
79018;Антоновича вул.;14
79018;Антоновича вул.;16
79018;Антоновича вул.;18
79018;Антоновича вул.;20
79018;Антоновича вул.;22
79018;Антоновича вул.;24
79018;Антоновича вул.;26
79018;Антоновича вул.;28
79018;Антоновича вул.;30
79018;Антоновича вул.;32
79018;Антоновича вул.;34
79018;Антоновича вул.;36
79018;Антоновича вул.;38
79018;Антоновича вул.;40
79018;Антоновича вул.;42
79018;Антоновича вул.;44
79018;Антоновича вул.;46
79018;Антоновича вул.;48
79018;Антоновича вул.;50
79018;Антоновича вул.;52
79018;Антоновича вул.;54
79018;Антоновича вул.;56
79018;Антоновича вул.;58
79018;Антоновича вул.;60
79018;Антоновича вул.;62
79018;Антоновича вул.;64
79018;Антоновича вул.;66
79018;Антоновича вул.;68
79018;Антоновича вул.;70
79018;Антоновича вул.;72
79018;Антоновича вул.;74
79018;Антоновича вул.;76
79018;Антоновича вул.;3
79018;Антоновича вул.;5
79018;Антоновича вул.;7
79018;Антоновича вул.;9
79018;Антоновича вул.;11
79018;Антоновича вул.;13
79018;Антоновича вул.;15
79018;Антоновича вул.;17
79018;Антоновича вул.;19
79018;Антоновича вул.;21
79018;Антоновича вул.;23
79018;Антоновича вул.;25
79018;Антоновича вул.;27
79018;Антоновича вул.;29
79018;Антоновича вул.;31
79018;Антоновича вул.;33
79018;Антоновича вул.;35
79018;Антоновича вул.;37
79018;Антоновича вул.;39
79018;Антоновича вул.;41
79018;Антоновича вул.;43
79018;Антоновича вул.;45
79018;Антоновича вул.;47
79018;Антоновича вул.;49
79018;Антоновича вул.;51
79018;Антоновича вул.;53
79018;Антоновича вул.;55
79018;Антоновича вул.;57
79018;Антоновича вул.;59
79018;Антоновича вул.;61
79018;Антоновича вул.;63
79018;Антоновича вул.;65
79018;Антоновича вул.;67
79018;Антоновича вул.;69
79018;Антоновича вул.;71
79018;Антоновича вул.;73
79018;Антоновича вул.;75
79018;Антоновича вул.;77
79018;Антоновича вул.;79
79018;Антоновича вул.;81
79057;Антоновича вул.;121
79057;Антоновича вул.;117
79057;Антоновича вул.;119
79057;Антоновича вул.;132
79057;Антоновича вул.;138
79057;Антоновича вул.;140
79057;Антоновича вул.;115
79057;Антоновича вул.; 115а
79057;Антоновича вул.; 115б
79057;Антоновича вул.; 115в
79057;Антоновича вул.;113
79057;Антоновича вул.; 113а
79057;Антоновича вул.;111
79057;Антоновича вул.;109
79057;Антоновича вул.;105
79057;Антоновича вул.;101
79057;Антоновича вул.;99
79057;Антоновича вул.;95
79057;Антоновича вул.;93
79057;Антоновича вул.;91
79057;Антоновича вул.;89
79057;Антоновича вул.;83
79057;Антоновича вул.;86
79057;Антоновича вул.;88
79057;Антоновича вул.;84
79057;Антоновича вул.;87
79057;Антоновича вул.;85
79017;Аральська вул.;1
79017;Аральська вул.;2
79017;Аральська вул.;3
79017;Аральська вул.;4
79017;Аральська вул.;5
79017;Аральська вул.;6
79017;Аральська вул.;7
79017;Аральська вул.;8
79017;Аральська вул.;9
79017;Аральська вул.;10
79017;Аральська вул.;11
79017;Аральська вул.;12
79017;Аральська вул.;13
79017;Аральська вул.;14
79017;Аральська вул.;15
79017;Аральська вул.;16
79017;Аральська вул.;17
79017;Аральська вул.;18
79017;Аральська вул.;19
79017;Аральська вул.;20
79017;Аральська вул.;21
79017;Аральська вул.;22
79053;Аркаса вул.;1
79053;Аркаса вул.;2
79053;Аркаса вул.;3
79053;Аркаса вул.;4
79053;Аркаса вул.;5
79053;Аркаса вул.;6
79053;Аркаса вул.;7
79053;Аркаса вул.;8
79053;Аркаса вул.;9
79053;Аркаса вул.;10
79053;Аркаса вул.;11
79008;Арсенальська вул.;1
79008;Арсенальська вул.;3
79008;Арсенальська вул.;5
79008;Арсенальська вул.;7
79005;Архипенка вул.;1
79005;Архипенка вул.;2
79005;Архипенка вул.;3
79005;Архипенка вул.;5
79005;Архипенка вул.;7
79005;Архипенка вул.;4
79005;Архипенка вул.;6
79005;Архипенка вул.;8
79005;Архипенка вул.;10
79005;Архипенка вул.;12
79005;Архипенка вул.;14
79005;Архипенка вул.;22
79005;Архипенка вул.;24
79005;Архипенка вул.;26
79005;Архипенка вул.;28
79005;Архипенка вул.;30
79005;Архипенка вул.;32
79005;Архипенка вул.;11
79005;Архипенка вул.;9
79013;Архітекторська вул.;1
79013;Архітекторська вул.;2
79013;Архітекторська вул.;3
79013;Архітекторська вул.;4
79013;Архітекторська вул.;5
79013;Архітекторська вул.;6
79013;Архітекторська вул.;7
79013;Архітекторська вул.;8
79013;Архітекторська вул.;9
79013;Архітекторська вул.;10
79013;Архітекторська вул.;11
79013;Архітекторська вул.;12
79013;Архітекторська вул.;13
79013;Архітекторська вул.;14
79013;Архітекторська вул.;15
79054;Бабія вул.;3
79054;Бабія вул.;4
79054;Бабія вул.;5
79054;Бабія вул.;6
79054;Бабія вул.;7
79054;Бабія вул.;8
79054;Бабія вул.;9
79054;Бабія вул.; 9а
79054;Бабія вул.;11
79054;Бабія вул.; 11б
79054;Бабія вул.;12
79054;Бабія вул.;14
79037;Багалія вул.;1
79037;Багалія вул.;2
79037;Багалія вул.;3
79037;Багалія вул.;4
79037;Багалія вул.;5
79041;Багряного вул.;32
79041;Багряного вул.;34
79041;Багряного вул.;36
79041;Багряного вул.;38
79041;Багряного вул.;40
79041;Багряного вул.;42
79041;Багряного вул.;44
79041;Багряного вул.;46
79041;Багряного вул.;48
79041;Багряного вул.;50
79041;Багряного вул.;52
79041;Багряного вул.;54
79041;Багряного вул.;56
79041;Багряного вул.;58
79041;Багряного вул.;60
79041;Багряного вул.;62
79041;Багряного вул.;64
79041;Багряного вул.;65
79069;Бажана вул.;1
79069;Бажана вул.;2
79069;Бажана вул.;3
79069;Бажана вул.;4
79069;Бажана вул.;5
79069;Бажана вул.;6
79069;Бажана вул.;7
79069;Бажана вул.;8
79069;Бажана вул.;9
79069;Бажана вул.;10
79014;Базальтова вул.;1
79014;Базальтова вул.;2
79014;Базальтова вул.;3
79014;Базальтова вул.;4
79014;Базальтова вул.;5
79014;Базальтова вул.;6
79014;Базальтова вул.;7
79014;Базальтова вул.;8
79014;Базальтова вул.;9
79014;Базальтова вул.;10
79014;Базальтова вул.;11
79014;Базальтова вул.;12
79014;Базальтова вул.;13
79014;Базальтова вул.;14
79014;Базальтова вул.;15
79014;Базальтова вул.;16
79014;Базальтова вул.;17
79014;Базальтова вул.;18
79014;Базальтова вул.;19
79014;Базальтова вул.;20
79014;Базальтова вул.;21
79014;Базальтова вул.;22
79014;Базальтова вул.;23
79007;Базарна вул.;1
79007;Базарна вул.;2
79007;Базарна вул.;3
79007;Базарна вул.;4
79007;Базарна вул.;5
79007;Базарна вул.;6
79007;Базарна вул.;7
79007;Базарна вул.;8
79007;Базарна вул.;9
79007;Базарна вул.;10
79007;Базарна вул.;11
79007;Базарна вул.;12
79007;Базарна вул.;13
79007;Базарна вул.;14
79007;Базарна вул.;15
79007;Базарна вул.;16
79007;Базарна вул.;17
79007;Базарна вул.;18
79007;Базарна вул.;19
79007;Базарна вул.;20
79007;Базарна вул.;21
79007;Базарна вул.;22
79007;Базарна вул.;23
79007;Базарна вул.;24
79007;Базарна вул.;25
79007;Базарна вул.;26
79007;Базарна вул.;27
79007;Базарна вул.;28
79007;Базарна вул.;29
79007;Базарна вул.;30
79007;Базарна вул.;31
79007;Базарна вул.;32
79007;Базарна вул.;33
79022;Бакинська вул.;1
79022;Бакинська вул.;2
79022;Бакинська вул.;3
79022;Бакинська вул.; 3а
79022;Бакинська вул.;5
79022;Бакинська вул.;7
79022;Бакинська вул.; 7а
79022;Бакинська вул.;10
79022;Бакинська вул.;11
79022;Бакинська вул.; 11а
79022;Бакинська вул.;12
79022;Бакинська вул.;13
79022;Бакинська вул.;14
79022;Бакинська вул.;15
79022;Бакинська вул.;16
79022;Бакинська вул.;17
79022;Бакинська вул.;18
79022;Бакинська вул.;19
79022;Бакинська вул.;20
79022;Бакинська вул.;23
79022;Бакинська вул.;24
79022;Бакинська вул.; 24а
79022;Бакинська вул.;25
79022;Бакинська вул.;26
79022;Бакинська вул.;28
79022;Бакинська вул.; 28а
79022;Бакинська вул.;30
79022;Бакинська вул.; 30а
79007;Балабана вул.;1
79007;Балабана вул.;2
79007;Балабана вул.;3
79007;Балабана вул.;4
79007;Балабана вул.;5
79007;Балабана вул.;6
79007;Балабана вул.;7
79007;Балабана вул.;8
79007;Балабана вул.;9
79007;Балабана вул.;10
79007;Балабана вул.;11
79007;Балабана вул.;12
79007;Балабана вул.;13
79007;Балабана вул.;14
79007;Балабана вул.;15
79007;Балабана вул.;16
79007;Балабана вул.;17
79024;Балкова вул.;1
79024;Балкова вул.;2
79024;Балкова вул.;3
79024;Балкова вул.;4
79024;Балкова вул.;5
79024;Балкова вул.;6
79024;Балкова вул.;7
79024;Балкова вул.;8
79024;Балкова вул.;9
79024;Балкова вул.;10
79056;Балкова вул.;16
79056;Балкова вул.;18
79053;Балтійська вул.;1
79053;Балтійська вул.;2
79053;Балтійська вул.;3
79053;Балтійська вул.;4
79053;Балтійська вул.;5
79020;Бальзака вул.;1а
79020;Бальзака вул.;3
79020;Бальзака вул.;5
79020;Бальзака вул.;7
79020;Бальзака вул.;13
79020;Бальзака вул.;15
79020;Бальзака вул.;25
79020;Бальзака вул.;35
79020;Бальзака вул.;16
79020;Бальзака вул.;18
79020;Бальзака вул.;20
79020;Бальзака вул.;22
79013;Бандери вул.;2
79013;Бандери вул.;4
79013;Бандери вул.;6
79013;Бандери вул.;5
79013;Бандери вул.; 5а
79013;Бандери вул.;7
79013;Бандери вул.;9
79013;Бандери вул.;15
79013;Бандери вул.;17
79013;Бандери вул.;3
79013;Бандери вул.;5
79013;Бандери вул.;19
79013;Бандери вул.;21
79013;Бандери вул.;23
79013;Бандери вул.;25
79025;Бандрівського вул.;1
79025;Бандрівського вул.;2
79025;Бандрівського вул.;3
79025;Бандрівського вул.;4
79025;Бандрівського вул.;5
79025;Бандрівського вул.;6
79025;Бандрівського вул.;7
79025;Бандрівського вул.;8
79025;Бандрівського вул.;9
79025;Бандрівського вул.;10
79025;Бандрівського вул.;12
79025;Бандрівського вул.;14
79025;Бандрівського вул.;16
79025;Бандрівського вул.;18
79025;Бандрівського вул.; 18а
79025;Бандрівського вул.;20
79025;Бандрівського вул.;22
79000;Банківська вул.;1
79000;Банківська вул.;2
79000;Банківська вул.;3
79000;Банківська вул.;4
79000;Банківська вул.;5
79000;Банківська вул.;6
79000;Банківська вул.;7
79000;Банківська вул.;8
79000;Банківська вул.;9
79000;Банківська вул.;10
79000;Банківська вул.;11
79000;Банківська вул.;12
79000;Банківська вул.;13
79000;Банківська вул.;14
79000;Банківська вул.;15
79000;Банківська вул.;16
79069;Барбарисова вул.;1
79069;Барбарисова вул.;2
79069;Барбарисова вул.;3
79069;Барбарисова вул.;4
79069;Барбарисова вул.;5
79069;Барбарисова вул.;6
79069;Барбарисова вул.;7
79069;Барбарисова вул.;8
79069;Барбарисова вул.;9
79069;Барбарисова вул.;10
79044;Барвінок вул.;1
79044;Барвінок вул.;2
79044;Барвінок вул.;3
79044;Барвінок вул.;4
79044;Барвінок вул.;5
79044;Барвінок вул.;6
79044;Барвінок вул.;7
79044;Барвінок вул.;8
79044;Барвінок вул.;9
79044;Барвінок вул.;10
79044;Барвінок вул.;11
79044;Барвінок вул.;12
79044;Барвінок вул.;13
79044;Барвінок вул.;14
79044;Барвінок вул.;15
79044;Барвінок вул.;16
79044;Барвінок вул.;17
79044;Барвінок вул.;18
79044;Барвінок вул.;19
79044;Барвінок вул.;20
79044;Барвінок вул.;21
79044;Барвінок вул.;22
79044;Барвінок вул.;23
79044;Барвінок вул.;24
79044;Барвінок вул.;25
79044;Барвінок вул.;26
79044;Барвінок вул.;27
79044;Барвінок вул.;28
79044;Барвінок вул.;29
79044;Барвінок вул.;30
79044;Барвінок вул.;31
79044;Барвінок вул.;32
79044;Барвінок вул.;33
79044;Барвінок вул.;34
79008;Барвінських вул.;1
79008;Барвінських вул.;2
79008;Барвінських вул.;3
79008;Барвінських вул.;4
79008;Барвінських вул.;5
79008;Барвінських вул.;6
79008;Барвінських вул.;7
79008;Барвінських вул.;8
79008;Барвінських вул.;9
79008;Барвінських вул.;10
79008;Барвінських вул.;11
79008;Барвінських вул.;12
79008;Барвінських вул.;13
79008;Барвінських вул.;14
79008;Барвінських вул.;15
79008;Барвінських вул.;16
79058;Баронча вул.;5
79058;Баронча вул.;6
79017;Басараб вул.;1
79017;Басараб вул.;2
79017;Басараб вул.;3
79017;Басараб вул.;4
79017;Басараб вул.;5
79017;Басараб вул.;6
79017;Басараб вул.;7
79017;Басараб вул.;8
79017;Басараб вул.;9
79017;Басараб вул.;10
79017;Басараб вул.;11
79017;Басараб вул.;12
79017;Басараб вул.;13
79017;Басараб вул.;14
79017;Басараб вул.;15
79017;Басараб вул.;16
79017;Басараб вул.;17
79017;Басараб вул.;18
79017;Басараб вул.;19
79017;Басараб вул.;20
79017;Басараб вул.;21
79017;Басараб вул.;22
79017;Басараб вул.;23
79007;Батуринська вул.;1
79007;Батуринська вул.;2
79007;Батуринська вул.;3
79007;Батуринська вул.;4
79007;Батуринська вул.;5
79007;Батуринська вул.;6
79007;Батуринська вул.;7
79007;Батуринська вул.;8
79007;Батуринська вул.;9
79007;Батуринська вул.;10
79007;Батуринська вул.;11
79007;Батуринська вул.;12
79007;Батуринська вул.;13
79007;Батуринська вул.;14
79024;Бачинського вул.;1
79024;Бачинського вул.;2
79024;Бачинського вул.;3
79024;Бачинського вул.;4
79024;Бачинського вул.;5
79024;Бачинського вул.;6
79024;Бачинського вул.;7
79024;Бачинського вул.;8
79054;Баштанна вул.;1
79054;Баштанна вул.;2
79054;Баштанна вул.;3
79054;Баштанна вул.;4
79054;Баштанна вул.;6
79054;Баштанна вул.;10
79054;Баштанна вул.;12
79054;Баштанна вул.;14
79054;Баштанна вул.;18
79054;Баштанна вул.;20
79054;Баштанна вул.;22
79054;Баштанна вул.;24
79024;Белзька вул.;1
79024;Белзька вул.;2
79024;Белзька вул.;3
79024;Белзька вул.;4
79024;Белзька вул.;5
79024;Белзька вул.;6
79024;Белзька вул.;7
79024;Белзька вул.;8
79024;Белзька вул.;9
79024;Белзька вул.;10
79024;Белзька вул.;11
79024;Белзька вул.;12
79024;Белзька вул.;13
79024;Белзька вул.;14
79024;Белзька вул.;15
79024;Белзька вул.;16
79024;Белзька вул.;17
79024;Белзька вул.;18
79057;Бенцаля вул.;1
79057;Бенцаля вул.;3
79057;Бенцаля вул.;5
79057;Бенцаля вул.;6
79057;Бенцаля вул.;7
79057;Бенцаля вул.;8
79057;Бенцаля вул.;9
79057;Бенцаля вул.; 8а
79057;Бенцаля вул.;10
79057;Бенцаля вул.; 10а
79057;Бенцаля вул.;15
79057;Бенцаля вул.;12
79057;Бенцаля вул.;11
79014;Берегова вул.;1
79014;Берегова вул.;2
79014;Берегова вул.;3
79014;Берегова вул.;4
79014;Берегова вул.;5
79014;Берегова вул.;6
79014;Берегова вул.;7
79014;Берегова вул.;8
79014;Берегова вул.;9
79014;Берегова вул.;10
79014;Берегова вул.;11
79014;Берегова вул.;12
79014;Берегова вул.;13
79014;Берегова вул.;14
79014;Берегова вул.;15
79014;Берегова вул.;16
79014;Берегова вул.;17
79014;Берегова вул.;18
79014;Берегова вул.;19
79014;Берегова вул.;20
79014;Берегова вул.;21
79014;Берегова вул.;22
79014;Берегова вул.;23
79014;Берегова вул.;24
79014;Берегова вул.;25
79014;Берегова вул.;26
79014;Берегова вул.;27
79014;Берегова вул.;28
79014;Берегова вул.;29
79014;Берегова вул.;30
79014;Берегова вул.;31
79014;Берегова вул.;32
79014;Берегова вул.;33
79014;Берегова вул.;34
79014;Берегова вул.;35
79014;Берегова вул.;36
79014;Берегова вул.;37
79014;Берегова вул.;38
79014;Берегова вул.;39
79014;Берегова вул.;40
79014;Берегова вул.;41
79014;Берегова вул.;42
79014;Берегова вул.;43
79014;Берегова вул.;44
79014;Берегова вул.;45
79014;Берегова вул.;46
79014;Берегова вул.;47
79014;Берегова вул.;48
79014;Берегова вул.;49
79014;Берегова вул.;50
79014;Берегова вул.;51
79014;Берегова вул.;52
79014;Берегова вул.;53
79070;Бережанська вул.;1
79070;Бережанська вул.;2
79070;Бережанська вул.;3
